RT,Crt,trltp,shrink,iscong,trgtside,crtdir
0.45277,1,1,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.96252,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,1,0.5,0,1,NaN
0.44233,1,1,0.5,0,1,2
0.55824,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,2,NaN
0.46265,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.46479,1,1,0.5,0,2,1
0.49276,1,1,0.5,1,2,2
0.50794,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.51595,1,1,0.5,0,1,2
0.48051,1,1,0.5,0,2,1
0.55394,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.67613,1,1,0.5,0,1,2
0.50956,1,1,0.5,1,1,1
0.49977,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,1,NaN
0.50165,1,1,0.5,1,1,1
0.49755,1,1,0.5,0,1,2
0.44756,1,1,0.5,0,1,2
0.37779,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
0.46818,1,1,0.5,1,2,2
0.68348,1,1,0.5,1,1,1
0.47378,1,2,0.5,1,2,2
-Inf,NaN,2,0.5,0,1,NaN
0.51896,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,1,NaN
0.47343,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.43366,1,2,0.5,0,1,2
0.60733,1,2,0.5,0,2,1
0.46329,1,2,0.5,1,2,2
-Inf,NaN,2,0.5,0,2,NaN
0.53311,1,2,0.5,1,1,1
0.40752,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.44115,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,2,NaN
0.54536,1,2,0.5,1,1,1
0.51296,1,2,0.5,1,1,1
0.43714,1,2,0.5,0,1,2
0.50983,1,2,0.5,1,1,1
0.42914,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.44307,1,2,0.5,0,1,2
0.49318,1,2,0.5,0,1,2
0.68422,1,3,0.5,1,2,2
0.47704,1,3,0.5,0,1,2
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,2,NaN
0.43476,1,3,0.5,0,1,2
0.42259,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.51438,1,3,0.5,0,2,1
0.47687,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,2,NaN
0.58882,1,3,0.5,0,2,1
0.48293,1,3,0.5,0,2,1
0.6403,1,3,0.5,0,2,1
0.52487,1,3,0.5,0,2,1
0.43622,1,3,0.5,1,2,2
0.4246,1,3,0.5,1,1,1
0.57069,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.83467,1,3,0.5,0,1,2
0.7262,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.42978,1,3,0.5,1,1,1
