RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,0.5,0,1,NaN
0.55768,1,2,0.5,1,1,1
0.43879,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,2,NaN
0.4625,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
0.38205,1,2,0.5,1,2,2
0.47462,1,2,0.5,1,1,1
0.36383,1,2,0.5,1,2,2
0.36009,1,2,0.5,1,2,2
0.41851,1,2,0.5,0,2,1
0.41209,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.39437,1,2,0.5,0,1,2
0.50594,1,2,0.5,1,2,2
0.46986,1,2,0.5,0,2,1
0.48163,1,2,0.5,1,1,1
0.43942,1,2,0.5,0,1,2
0.52543,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.43995,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
0.4201,1,3,0.5,0,1,2
0.46589,1,3,0.5,0,1,2
0.52139,1,3,0.5,0,1,2
0.53578,1,3,0.5,0,2,1
0.40755,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.43353,1,3,0.5,0,2,1
0.39741,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.42367,1,3,0.5,1,1,1
0.42579,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.34743,1,3,0.5,0,2,1
0.37489,1,3,0.5,1,2,2
0.40737,1,3,0.5,1,2,2
0.42933,1,3,0.5,1,2,2
0.45316,1,3,0.5,1,2,2
0.41932,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.42947,1,3,0.5,0,2,1
0.49093,1,1,0.5,0,1,2
0.48529,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.39653,1,1,0.5,0,2,1
0.48923,1,1,0.5,1,2,2
0.54028,1,1,0.5,1,1,1
0.39503,1,1,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.40743,1,1,0.5,1,2,2
0.54427,1,1,0.5,0,1,2
0.42236,1,1,0.5,1,1,1
0.47872,1,1,0.5,1,1,1
0.58632,1,1,0.5,1,1,1
0.37232,1,1,0.5,0,1,2
