RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,0.5,0,1,NaN
1.0841,1,2,0.5,1,1,1
0.52989,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
0.56174,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.54585,1,2,0.5,1,2,2
0.46184,1,2,0.5,1,1,1
0.43188,1,2,0.5,1,2,2
0.6036,1,2,0.5,1,1,1
0.50158,1,2,0.5,0,2,1
0.45557,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.43745,1,2,0.5,0,2,1
0.57497,1,2,0.5,1,2,2
0.48153,1,2,0.5,0,2,1
0.47746,1,2,0.5,1,1,1
0.41101,1,2,0.5,0,1,2
0.43335,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.46721,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.63924,0,3,0.5,0,1,2
0.45311,1,3,0.5,0,1,2
0.46926,1,3,0.5,0,2,1
0.49094,1,3,0.5,0,2,1
0.45278,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.4369,1,3,0.5,0,1,2
0.47295,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.35484,1,3,0.5,1,2,2
0.46084,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.37481,1,3,0.5,0,2,1
0.43489,1,3,0.5,1,1,1
0.47469,1,3,0.5,1,1,1
0.39271,1,3,0.5,1,1,1
0.56062,1,3,0.5,1,2,2
0.50257,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.36851,1,3,0.5,0,2,1
0.46233,1,1,0.5,0,1,2
0.51991,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,1,NaN
0.38425,1,1,0.5,0,1,2
0.37236,1,1,0.5,1,1,1
0.4084,1,1,0.5,1,2,2
0.38222,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.36003,1,1,0.5,1,2,2
0.49225,1,1,0.5,0,2,1
0.40218,1,1,0.5,1,2,2
0.53,1,1,0.5,1,1,1
0.39803,1,1,0.5,1,2,2
0.42377,1,1,0.5,0,2,1
0.39195,0,1,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.43773,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,1,0.5,0,1,NaN
0.43789,1,1,0.5,0,1,2
0.64974,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
0.52922,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.37586,1,1,0.5,0,2,1
0.64789,1,1,0.5,1,1,1
0.52794,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.50373,1,1,0.5,0,1,2
0.4838,1,1,0.5,0,1,2
0.46967,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.44758,1,1,0.5,0,1,2
0.60153,1,1,0.5,1,2,2
1.1201,1,1,0.5,1,1,1
