RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,1,0.5,0,2,NaN
0.47351,1,1,0.5,1,2,2
0.42154,1,1,0.5,0,2,1
0.48346,1,1,0.5,0,1,2
0.48536,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.5435,1,1,0.5,1,2,2
0.69526,1,1,0.5,1,1,1
1.6212,0,2,0.5,1,2,2
-Inf,NaN,2,0.5,0,1,NaN
0.55502,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,1,NaN
0.43704,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.421,1,2,0.5,0,2,1
0.47463,1,2,0.5,0,2,1
0.38702,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,1,NaN
0.46483,1,2,0.5,1,1,1
0.48294,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.43704,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,1,NaN
0.42882,1,2,0.5,1,2,2
0.58068,1,2,0.5,1,2,2
0.52077,1,2,0.5,0,2,1
0.53683,1,2,0.5,1,1,1
0.4086,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.47055,1,2,0.5,0,1,2
0.9285,1,2,0.5,0,1,2
1.0725,1,3,0.5,1,1,1
0.52835,1,3,0.5,0,2,1
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.41429,1,3,0.5,0,1,2
0.46619,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.42211,1,3,0.5,0,2,1
0.40002,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,2,NaN
0.48016,1,3,0.5,0,1,2
0.63807,1,3,0.5,0,1,2
0.48406,1,3,0.5,0,1,2
0.43183,1,3,0.5,0,2,1
0.45596,1,3,0.5,1,1,1
0.57986,1,3,0.5,1,2,2
0.65396,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.50194,1,3,0.5,0,1,2
0.44979,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.32993,1,3,0.5,1,1,1
