RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,1,0.5,0,1,NaN
0.001325,1,1,0.5,0,1,2
0.0012903,0,1,0.5,1,1,1
0.0013197,1,1,0.5,1,2,2
0.0013946,0,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.0016497,1,1,0.5,1,2,2
0.0013386,0,1,0.5,0,2,1
0.0013176,1,1,0.5,1,2,2
0.0013103,0,1,0.5,1,1,1
0.001319,1,1,0.5,1,2,2
0.0013047,0,1,0.5,0,2,1
0.0013166,0,1,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.0013187,0,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,1,0.5,0,1,NaN
0.0013355,1,1,0.5,0,1,2
0.0013271,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
0.74159,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.60734,1,1,0.5,0,2,1
0.50754,1,1,0.5,1,1,1
0.58756,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.67562,1,1,0.5,0,1,2
-Inf,-1,1,0.5,0,1,2
0.7931,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.82686,1,1,0.5,0,1,2
0.66893,1,1,0.5,1,2,2
0.61936,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.47562,1,1,0.5,1,2,2
0.60103,1,1,0.5,0,2,1
0.70317,1,1,0.5,0,1,2
0.585,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.53865,1,1,0.5,1,2,2
0.65057,1,1,0.5,1,1,1
0.87205,1,2,0.5,1,2,2
-Inf,NaN,2,0.5,0,1,NaN
0.48574,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,1,NaN
0.49592,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.52782,1,2,0.5,0,2,1
0.45434,1,2,0.5,0,2,1
0.63797,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,1,NaN
0.62907,1,2,0.5,1,1,1
0.62968,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.55972,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,1,NaN
0.5434,1,2,0.5,1,2,2
0.61537,1,2,0.5,1,2,2
0.60383,1,2,0.5,0,2,1
0.62398,1,2,0.5,1,1,1
0.60366,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.68966,1,2,0.5,0,1,2
0.78665,1,2,0.5,0,1,2
0.49143,1,3,0.5,1,1,1
0.57928,1,3,0.5,0,2,1
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.63336,1,3,0.5,0,1,2
0.66839,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.6092,1,3,0.5,0,2,1
0.64465,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,2,NaN
0.65059,1,3,0.5,0,1,2
0.64091,1,3,0.5,0,1,2
0.52652,1,3,0.5,0,1,2
0.5392,1,3,0.5,0,2,1
0.68212,1,3,0.5,1,1,1
0.71086,1,3,0.5,1,2,2
0.79274,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.9844,1,3,0.5,0,1,2
0.58016,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.67581,1,3,0.5,1,1,1
