RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,0.5,0,1,NaN
0.79199,1,2,0.5,1,1,1
0.53367,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
0.86117,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.86171,1,2,0.5,1,2,2
1.0015,1,2,0.5,1,1,1
0.63555,1,2,0.5,1,2,2
0.62354,1,2,0.5,1,1,1
1.1209,1,2,0.5,0,2,1
0.56345,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
1.0573,1,2,0.5,0,2,1
0.57663,1,2,0.5,1,2,2
0.001325,0,2,0.5,0,2,1
0.0013257,0,2,0.5,1,1,1
0.0013281,1,2,0.5,0,1,2
0.0013253,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.0013176,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.0013239,1,3,0.5,0,1,2
0.0013439,1,3,0.5,0,1,2
0.0013155,0,3,0.5,0,2,1
0.0013572,0,3,0.5,0,2,1
0.0016809,0,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.0013243,1,3,0.5,0,1,2
0.0013194,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.0013225,1,3,0.5,1,2,2
0.0013176,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.0012886,0,3,0.5,0,2,1
0.001311,0,3,0.5,1,1,1
0.0013078,0,3,0.5,1,1,1
0.0013253,0,3,0.5,1,1,1
0.0013323,1,3,0.5,1,2,2
0.001333,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.001318,0,3,0.5,0,2,1
0.0015892,1,1,0.5,0,1,2
0.0013096,0,1,0.5,1,1,1
