RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,1,0.5,0,1,NaN
-Inf,NaN,1,0.5,0,2,NaN
1.5188,1,1,0.5,0,2,1
1.2278,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,1,NaN
1.5779,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.72364,1,1,0.5,0,1,2
1.1516,1,1,0.5,1,2,2
0.83164,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.92843,1,1,0.5,0,2,1
0.69155,1,1,0.5,0,2,1
0.51029,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
1.0962,1,1,0.5,0,1,2
0.86547,1,1,0.5,1,1,1
0.81541,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.83381,1,1,0.5,1,2,2
1.382,1,1,0.5,0,1,2
0.9236,1,1,0.5,0,2,1
0.89361,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.78384,1,1,0.5,1,1,1
0.6952,1,1,0.5,1,2,2
1.1493,1,2,0.5,1,2,2
-Inf,NaN,2,0.5,0,1,NaN
0.64312,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,2,NaN
0.90102,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
1.052,1,2,0.5,0,2,1
0.83427,1,2,0.5,0,2,1
0.88227,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,2,NaN
0.87336,1,2,0.5,1,2,2
0.83533,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.49316,0,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
1.1088,1,2,0.5,1,2,2
1.4772,1,2,0.5,1,1,1
1.3205,1,2,0.5,0,2,1
1.1447,1,2,0.5,1,1,1
1.1528,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
1.103,1,2,0.5,0,1,2
1.0696,1,2,0.5,0,1,2
0.0014027,1,3,0.5,1,2,2
0.001402,0,3,0.5,0,2,1
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,2,NaN
0.0013733,1,3,0.5,0,1,2
0.0013834,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.83795,1,3,0.5,0,2,1
0.96038,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,1,NaN
0.99254,1,3,0.5,0,1,2
0.91067,1,3,0.5,0,1,2
1.2202,1,3,0.5,0,2,1
0.98393,1,3,0.5,0,1,2
0.85643,1,3,0.5,1,1,1
1.9318,1,3,0.5,1,2,2
-Inf,-1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
1.4859,1,3,0.5,0,2,1
1.258,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
1.0254,1,3,0.5,1,1,1
