RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,0.5,0,2,NaN
0.76507,1,2,0.5,1,1,1
0.73882,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,2,NaN
0.8431,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.86615,1,2,0.5,1,1,1
0.74261,1,2,0.5,1,2,2
0.88091,1,2,0.5,1,2,2
0.8439,1,2,0.5,1,1,1
0.9105,1,2,0.5,0,2,1
0.75188,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.74458,1,2,0.5,0,2,1
0.86192,1,2,0.5,1,2,2
0.56987,1,2,0.5,0,2,1
0.57426,1,2,0.5,1,2,2
0.66048,1,2,0.5,0,1,2
0.7383,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.77157,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.75155,1,3,0.5,0,2,1
0.65355,1,3,0.5,0,2,1
0.60585,1,3,0.5,0,1,2
0.69277,1,3,0.5,0,2,1
0.64367,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.70139,1,3,0.5,0,2,1
0.73775,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
0.58866,1,3,0.5,1,1,1
0.69349,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.57561,1,3,0.5,0,1,2
0.78753,1,3,0.5,1,2,2
0.73163,1,3,0.5,1,1,1
0.76172,1,3,0.5,1,2,2
0.88332,1,3,0.5,1,1,1
0.82294,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.66699,1,3,0.5,0,1,2
0.86309,1,1,0.5,0,1,2
0.68859,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.76864,1,1,0.5,0,1,2
0.69342,1,1,0.5,1,1,1
0.65696,1,1,0.5,1,2,2
0.79108,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.72865,1,1,0.5,1,2,2
0.89321,1,1,0.5,0,1,2
-Inf,-1,1,0.5,1,2,2
0.81883,1,1,0.5,1,1,1
0.75095,1,1,0.5,1,2,2
0.87302,1,1,0.5,0,1,2
0.86448,1,1,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
0.81436,1,1,0.5,0,2,1
