RT,Crt,trltp,shrink,iscong,trgtside,crtdir
0.70181,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.63266,1,1,0.5,0,2,1
0.92324,1,1,0.5,1,1,1
0.64446,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.82854,1,1,0.5,0,2,1
0.72017,1,1,0.5,0,1,2
0.77009,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
1.2604,1,1,0.5,0,2,1
1.5337,1,1,0.5,1,1,1
0.79592,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.91776,1,1,0.5,1,1,1
0.76978,1,1,0.5,0,1,2
1.608,1,1,0.5,0,2,1
0.79382,1,1,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.87573,1,1,0.5,1,1,1
0.68356,1,1,0.5,1,2,2
0.96192,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,2,NaN
0.90383,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,2,NaN
1.4252,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.95341,1,2,0.5,0,2,1
0.8951,1,2,0.5,0,1,2
0.82355,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,1,NaN
0.67746,1,2,0.5,1,2,2
1.0949,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.73748,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
1.2731,1,2,0.5,1,2,2
0.82478,1,2,0.5,1,2,2
1.4687,1,2,0.5,0,2,1
1.1248,1,2,0.5,1,1,1
0.74924,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.73116,1,2,0.5,0,1,2
0.93258,1,2,0.5,0,2,1
1.3883,1,3,0.5,1,1,1
0.6285,1,3,0.5,0,1,2
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.95417,1,3,0.5,0,1,2
0.7826,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
1.7227,0,3,0.5,0,2,1
-Inf,-1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
1.4204,1,3,0.5,0,2,1
0.93826,1,3,0.5,0,1,2
1.4562,1,3,0.5,0,2,1
1.3884,1,3,0.5,0,2,1
0.69211,1,3,0.5,1,2,2
0.77655,1,3,0.5,1,2,2
0.84214,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.8181,1,3,0.5,0,1,2
0.87864,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.69423,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.83244,1,2,0.5,1,2,2
1.1022,1,2,0.5,0,2,1
