RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,2,0.5,0,2,NaN
0.82507,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.9504,1,2,0.5,1,1,1
0.76161,1,2,0.5,1,1,1
0.58814,1,2,0.5,1,2,2
0.64776,1,2,0.5,1,2,2
1.3379,1,2,0.5,0,1,2
0.53959,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
1.5377,1,2,0.5,0,2,1
0.65019,1,2,0.5,1,2,2
0.68699,1,2,0.5,0,2,1
1.018,1,2,0.5,1,1,1
1.3356,1,2,0.5,0,2,1
0.76547,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.88763,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
1.7311,1,3,0.5,0,1,2
1.0254,1,3,0.5,0,2,1
1.0411,1,3,0.5,0,1,2
0.99891,1,3,0.5,0,2,1
1.0628,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
1.457,1,3,0.5,0,1,2
1.3491,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.9593,1,3,0.5,1,1,1
0.90539,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
1.6194,1,3,0.5,0,2,1
0.67141,1,3,0.5,1,2,2
1.4789,1,3,0.5,1,2,2
0.71697,1,3,0.5,1,1,1
1.4127,1,3,0.5,1,1,1
1.3626,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
1.9886,1,3,0.5,0,2,1
1.1548,1,1,0.5,0,2,1
0.57991,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.68462,1,1,0.5,0,1,2
0.63285,1,1,0.5,1,1,1
0.56461,1,1,0.5,1,2,2
1.0666,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
1.0921,1,1,0.5,1,1,1
1.1363,1,1,0.5,0,1,2
0.86198,1,1,0.5,1,1,1
1.5177,1,1,0.5,1,1,1
1.3074,1,1,0.5,1,1,1
-Inf,-1,1,0.5,0,2,1
0.76415,1,1,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
1.498,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,1,NaN
-Inf,NaN,1,0.5,0,2,NaN
1.218,0,1,0.5,0,1,2
1.4221,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
