RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,0.5,0,1,NaN
0.72768,1,2,0.5,1,1,1
0.6456,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
0.55752,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,-1,2,0.5,1,2,2
0.84136,1,2,0.5,1,1,1
0.57131,1,2,0.5,1,2,2
0.87133,1,2,0.5,1,1,1
0.96051,1,2,0.5,0,2,1
0.63487,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.93723,1,2,0.5,0,2,1
1.1691,1,2,0.5,1,2,2
0.67709,1,2,0.5,0,2,1
-Inf,-1,2,0.5,1,1,1
0.95911,0,2,0.5,0,1,2
0.80509,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.72702,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.7948,1,3,0.5,0,1,2
0.68823,1,3,0.5,0,1,2
-Inf,-1,3,0.5,0,2,1
0.6227,1,3,0.5,0,2,1
0.54266,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.58463,1,3,0.5,0,1,2
0.6616,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
1.2386,1,3,0.5,1,2,2
0.7126,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.69841,1,3,0.5,0,2,1
1.5984,1,3,0.5,1,1,1
0.82238,1,3,0.5,1,1,1
-Inf,-1,3,0.5,1,1,1
0.63628,1,3,0.5,1,2,2
0.82545,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
1.0603,1,3,0.5,0,2,1
1.4101,1,1,0.5,0,1,2
0.79603,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,1,NaN
1.8841,1,1,0.5,0,1,2
1.1439,1,1,0.5,1,1,1
0.60388,1,1,0.5,1,2,2
0.5459,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,-1,1,0.5,1,2,2
0.77582,1,1,0.5,0,2,1
0.58173,1,1,0.5,1,2,2
0.65369,1,1,0.5,1,1,1
0.63359,1,1,0.5,1,2,2
0.69174,1,1,0.5,0,2,1
0.99554,1,1,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.76159,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,1,0.5,0,1,NaN
0.60956,1,1,0.5,0,1,2
0.73333,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
