RT,Crt,trltp,shrink,iscong,trgtside,crtdir
0.79763,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.45546,1,1,0.5,0,2,1
0.45946,1,1,0.5,1,1,1
0.47541,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.45934,1,1,0.5,0,2,1
0.47924,1,1,0.5,0,1,2
0.45709,0,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.45097,1,1,0.5,0,2,1
0.37294,0,1,0.5,1,1,1
0.45093,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.46083,1,1,0.5,1,1,1
0.53675,1,1,0.5,0,1,2
0.47871,1,1,0.5,0,2,1
0.43268,1,1,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.41865,1,1,0.5,1,1,1
0.32246,1,1,0.5,1,2,2
0.35223,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,2,NaN
0.42227,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,2,NaN
0.36009,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.28012,0,2,0.5,0,2,1
0.48591,1,2,0.5,0,1,2
0.43791,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,1,NaN
0.46795,1,2,0.5,1,2,2
0.46177,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.45575,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
0.45565,0,2,0.5,1,2,2
0.58371,1,2,0.5,1,2,2
0.58755,1,2,0.5,0,2,1
0.6836,1,2,0.5,1,1,1
0.48342,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.43339,1,2,0.5,0,1,2
0.45937,1,2,0.5,0,2,1
0.44321,1,3,0.5,1,1,1
0.41919,1,3,0.5,0,1,2
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.52106,1,3,0.5,0,1,2
0.44496,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.43271,1,3,0.5,0,2,1
0.42605,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
0.44268,1,3,0.5,0,2,1
0.44069,1,3,0.5,0,1,2
0.44647,1,3,0.5,0,2,1
0.45046,1,3,0.5,0,2,1
0.42647,1,3,0.5,1,2,2
0.35052,0,3,0.5,1,2,2
0.43244,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.38417,1,3,0.5,0,1,2
0.37191,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.63626,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.47176,1,2,0.5,1,2,2
0.41355,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,2,NaN
0.42954,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.4935,1,2,0.5,1,1,1
0.51341,1,2,0.5,1,1,1
0.41144,1,2,0.5,1,2,2
0.40723,1,2,0.5,1,2,2
0.43325,1,2,0.5,0,1,2
0.47626,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.56905,1,2,0.5,0,2,1
0.44052,1,2,0.5,1,2,2
0.37268,1,2,0.5,0,2,1
0.377,0,2,0.5,1,1,1
0.4388,1,2,0.5,0,2,1
0.44484,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.45471,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.50645,1,3,0.5,0,1,2
0.52039,1,3,0.5,0,2,1
0.69634,1,3,0.5,0,1,2
0.43039,1,3,0.5,0,2,1
0.45435,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.49618,1,3,0.5,0,1,2
0.46025,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.51796,1,3,0.5,1,1,1
0.40815,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.52994,1,3,0.5,0,2,1
0.4699,1,3,0.5,1,2,2
0.4378,1,3,0.5,1,2,2
0.39582,1,3,0.5,1,1,1
0.79576,0,3,0.5,1,1,1
0.56964,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.60311,1,3,0.5,0,2,1
0.45734,1,1,0.5,0,2,1
0.46731,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.57116,1,1,0.5,0,1,2
0.51912,1,1,0.5,1,1,1
0.41917,1,1,0.5,1,2,2
0.465,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.45099,1,1,0.5,1,1,1
0.39077,1,1,0.5,0,1,2
0.44093,1,1,0.5,1,1,1
0.43685,1,1,0.5,1,1,1
0.47279,1,1,0.5,1,1,1
0.44262,0,1,0.5,0,2,1
0.41854,1,1,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.55248,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,1,NaN
-Inf,NaN,1,0.5,0,2,NaN
0.6963,1,1,0.5,0,1,2
0.5643,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
