File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	29.608667	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	6.992863	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	-1.744294	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	-10.511229	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	4.261300	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	-18.918075
File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	18.703258	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	15.851032	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	17.226024	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	10.384742	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	10.654484	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	-12.437166
File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	10.635124	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	15.148289	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	16.011244	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	-10.929595	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	-19.081668	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	4.327295
File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	4.720597	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	28.083946	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	29.066199	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	32.148641	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	32.869627	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	9.138355
File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	8.536477	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	12.150821	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	-0.581264	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	0.817568	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	10.762933	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[1]	0[Popout#0_]	17.325916
File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
